,Operacao,Operador_Padronizado,Descricao_do_Tipo
1,Voo Regular,TAP AIR PORTUGAL,COLISÃO NO SOLO
2,Voo Regular,AZUL,FOGO/FUMAÇA
7,Táxi Aéreo,PIQUIATUBA TAXI AÉREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
14,Voo Regular,GOL,
15,Voo Regular,GOL,
16,Voo Regular,GOL,
17,Voo Regular,GOL,
19,Táxi Aéreo,LIDERAR TÁXI AÉREO LTDA,OPERAÇÕES NO SOLO
20,Táxi Aéreo,CTA-CLEITON TAXI AEREO LTDA,MANOBRA ABRUPTA
22,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
24,Táxi Aéreo,BLUE SKY TAXI AEREO LTDA-ME,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
26,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
27,Voo Regular,AZUL,COLISÃO COM AVE
29,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
32,Voo Regular,AZUL,CORTANTE DE VENTO / TEMPESTADE
36,Táxi Aéreo,VOARE TAXI AEREO LTDA,INDETERMINADO
37,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
42,Voo Regular,AZUL,FOGO/FUMAÇA
45,Voo Regular,GOL,
47,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
61,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
62,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,OUTROS
63,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
64,Táxi Aéreo,UNIAIR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
65,Táxi Aéreo,ATA AEROTAXI ABAETE LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
66,Táxi Aéreo,AEROTOP TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
68,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
72,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
73,Táxi Aéreo,CHC DO BRASIL TAXI AEREO S.A,OUTROS
74,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
76,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
78,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
79,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,EXCURSÃO DE PISTA
80,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
85,Táxi Aéreo,CHC DO BRASIL TAXI AEREO S.A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
89,Voo Regular,Netherlands Martinair Holland N.v.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
90,Táxi Aéreo,TWO TAXI AEREO LTDA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
103,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
105,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
110,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
112,Voo Regular,AZUL,OPERAÇÕES NO SOLO
116,Táxi Aéreo,LIDER TAXI AEREO�S A AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
119,Táxi Aéreo,EMAR TAXI AEREO LTDA,OUTROS
120,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
121,Táxi Aéreo,LIDER TAXI AEREO�S A AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
123,Táxi Aéreo,UNIAIR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
125,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
127,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
128,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
132,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
133,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
139,Voo Regular,TAM,COLISÃO NO SOLO
140,Voo Regular,AZUL,OPERAÇÕES NO SOLO
141,Voo Regular,AZUL,OPERAÇÕES NO SOLO
142,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
143,Voo Regular,TAM,COLISÃO NO SOLO
145,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
148,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
149,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,COMBUSTÍVEL
164,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
166,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
167,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
173,Táxi Aéreo,SANTAREM TAXI AEREO LTDA,EXCURSÃO DE PISTA
179,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
180,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
181,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
184,Voo Regular,AZUL,OPERAÇÕES NO SOLO
186,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
187,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
196,Voo Regular,TAM,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
200,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
201,Voo Regular,AZUL,COLISÃO COM AVE
207,Voo Regular,AZUL,OPERAÇÕES NO SOLO
211,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
212,Voo Regular,AZUL,OUTROS
213,Táxi Aéreo,PIQUIATUBA TAXI AÉREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
217,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
218,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
220,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
221,Táxi Aéreo,RG8 TAXI AEREO LTDA,OUTROS
223,Voo Regular,GOL,INCURSÃO EM PISTA
224,Voo Regular,AZUL,INCURSÃO EM PISTA
226,Táxi Aéreo,SALES TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
227,Táxi Aéreo,SALES TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
229,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
230,Voo Regular,AZUL,COLISÃO COM AVE
247,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,COLISÃO COM AVE
248,Táxi Aéreo,CHC DO BRASIL TAXI AEREO S.A,OUTROS
249,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
250,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
252,Voo Regular,AZUL,COLISÃO COM AVE
263,Táxi Aéreo,AIR JET TAXI AEREO LTDA,COLISÃO COM AVE
266,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
270,Táxi Aéreo,RIMA RIO MADEIRA AEROTAXI LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
274,Voo Regular,GOL,OUTROS
275,Táxi Aéreo,VOARE TÁXI AÉREO LTDA,CONTATO ANORMAL COM A PISTA
276,Táxi Aéreo,LIDER TAXI AEREO S.A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
282,Voo Regular,TAM,OUTROS
283,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
284,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
288,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,EXCURSÃO DE PISTA
295,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
297,Voo Regular,,OPERAÇÕES NO SOLO
298,Voo Regular,TAM,OPERAÇÕES NO SOLO
299,Táxi Aéreo,TWO TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
300,Voo Regular,TAM,COLISÃO COM AVE
304,Voo Regular,TAM,COLISÃO COM AVE
318,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
319,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
320,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
321,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
322,Táxi Aéreo,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUÁRIOS LTDA.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
323,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
325,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
329,Voo Regular,ASTA LINHAS AEREAS LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
330,Voo Regular,ASTA LINHAS AEREAS LTDA,EXCURSÃO DE PISTA
334,Táxi Aéreo,MILL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
339,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
351,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
